thread,1,1597403510,1597403511,0.797635,49
thread,2,1597403558,1597403559,0.893179,102.5
thread,4,1597403582,1597403583,1.048790,49
thread,8,1597403593,1597403595,1.316581,98.5
graph,3,1597403185,1597403187,2.456131,98.5
graph,1,1597403103,1597403104,0.787354,48
graph,2,1597403128,1597403129,1.633442,49
graph,4,1597403152,1597403155,3.337136,120.5
graph,5,1597403160,1597403164,4.119488,221.5
input,512,1597402763,1597402764,0.900420,98.0
input,512,1597402744,1597402745,0.883622,103.5
input,1024,1597402272,1597402273,0.970308,98.0
input,512,1597402228,1597402228,0.869152,0
input,512,1597402248,1597402249,0.883593,49
input,4,1597402105,1597402105,0.750203,49
input,8,1597402294,1597402295,0.772609,98.0
input,16,1597402130,1597402131,0.760506,48
input,32,1597402142,1597402142,0.770668,48
input,64,1597402149,1597402150,0.792969,51
input,128,1597402166,1597402167,0.775302,57
input,256,1597402171,1597402172,0.811076,48
input,512,1597402185,1597402185,0.878768,0
input,1024,1597402194,1597402195,1.008965,97.5
scheduler,bf,1597400980,1597400981,0.785170,53
scheduler,wf,1597401149,1597401150,0.782958,49
scheduler,versioning,1597400960,1597400963,3.147600,206.0
