thread,1,1597403458,1597403458,0.362319,49
thread,2,1597403458,1597403458,0.437988,49
thread,4,1597403458,1597403459,0.528094,49
thread,8,1597403459,1597403460,0.793116,97
thread,1,1597403460,1597403460,0.350072,97
thread,2,1597403460,1597403461,0.439544,175.0
thread,4,1597403461,1597403461,0.525900,59
thread,8,1597403461,1597403462,0.720837,59
thread,1,1597403405,1597403406,0.361210,99.5
thread,2,1597403406,1597403406,0.433784,52
thread,4,1597403406,1597403407,0.531857,52
thread,8,1597403407,1597403408,0.741754,105
thread,1,1597403408,1597403408,0.351245,105
thread,2,1597403408,1597403408,0.435350,105
thread,4,1597403408,1597403409,0.526701,189.0
thread,8,1597403409,1597403410,1.059524,63
thread,1,1597403385,1597403385,0.348874,51
thread,2,1597403385,1597403386,0.440836,102.0
thread,4,1597403386,1597403386,0.529180,51
thread,8,1597403386,1597403387,0.800701,51
thread,1,1597403387,1597403388,0.347752,110
thread,2,1597403388,1597403388,0.435401,110
thread,4,1597403388,1597403389,0.530792,201.0
thread,8,1597403389,1597403389,0.806192,72
graph,1,1597403036,1597403036,0.346015,47
graph,2,1597403037,1597403037,0.743281,0
graph,3,1597403037,1597403038,1.133963,61
graph,4,1597403038,1597403040,1.542902,121.5
graph,5,1597403040,1597403042,1.853252,126.0
graph,1,1597403042,1597403042,0.347358,60
graph,2,1597403042,1597403043,0.738539,60
graph,3,1597403043,1597403044,1.121094,61
graph,5,1597403046,1597403047,1.868122,63
input,4,1597402409,1597402409,0.352035,50
input,8,1597402409,1597402410,0.349680,50
input,16,1597402410,1597402410,0.342899,0
input,32,1597402410,1597402410,0.347814,0
input,64,1597402410,1597402411,0.379078,59
input,128,1597402411,1597402411,0.351100,59
input,256,1597402411,1597402411,0.354507,59
input,1024,1597402412,1597402412,0.395989,65
input,4,1597402412,1597402413,0.349773,65
input,8,1597402413,1597402413,0.342075,0
input,16,1597402413,1597402413,0.342638,0
input,32,1597402413,1597402414,0.347153,60
input,64,1597402414,1597402414,0.350939,60
input,128,1597402414,1597402414,0.355721,60
input,512,1597402415,1597402415,0.371072,64
input,1024,1597402415,1597402415,0.404831,64
input,4,1597402020,1597402020,0.343323,50
input,8,1597402020,1597402021,0.343455,50
input,16,1597402021,1597402021,0.346005,0
input,32,1597402021,1597402021,0.343599,0
input,64,1597402021,1597402022,0.354203,61
input,128,1597402022,1597402022,0.349328,61
input,256,1597402022,1597402022,0.361290,61
input,1024,1597402023,1597402023,0.398687,60
input,8,1597402024,1597402024,0.343776,62
input,16,1597402024,1597402024,0.344858,62
input,32,1597402024,1597402025,0.354536,62
input,64,1597402025,1597402025,0.341279,0
input,128,1597402025,1597402025,0.346200,0
input,256,1597402025,1597402026,0.356980,63
input,512,1597402026,1597402026,0.372014,63
input,1024,1597402026,1597402026,0.399816,63
input,4,1597401982,1597401983,0.343344,49
input,8,1597401983,1597401983,0.340974,0
input,16,1597401983,1597401983,0.345462,0
input,32,1597401983,1597401984,0.340771,59
input,64,1597401984,1597401984,0.348247,59
input,128,1597401984,1597401984,0.356341,59
input,512,1597401985,1597401985,0.376510,61
input,1024,1597401985,1597401985,0.404090,61
input,4,1597401985,1597401986,0.340792,61
input,8,1597401986,1597401986,0.343701,0
input,16,1597401986,1597401986,0.339947,0
input,32,1597401987,1597401987,0.348901,60
input,64,1597401987,1597401987,0.348233,60
input,256,1597401988,1597401988,0.355466,61
input,512,1597401988,1597401988,0.370324,61
input,1024,1597401988,1597401989,0.402874,61
scheduler,bf,1597400879,1597400879,0.365511,49
scheduler,wf,1597400879,1597400879,0.335438,49
scheduler,versioning,1597400879,1597400882,3.100436,198.5
scheduler,wf,1597400883,1597400883,0.333818,51
scheduler,versioning,1597400883,1597400886,3.181629,205.5
